tab_caixasangria_id_caixasangria;tab_caixasangria_id_caixa;tab_caixasangria_id_entidade;tab_caixasangria_id_especie;tab_caixasangria_data;tab_caixasangria_valor;tab_caixasangria_obs;tab_caixasangria_conferido
90;11;2;1;"2025-01-11 15:15:31";800.00;FC;1
91;11;2;1;"2025-01-11 17:37:39";600.00;FC;1
92;11;2;1;"2025-01-11 18:47:30";300.00;FC;1
93;11;2;1;"2025-01-11 18:59:30";80.00;AJUDANTE;1
94;11;2;1;"2025-01-11 19:42:55";90.00;"Joao vitor fez PIX e pegou dinheiro";1
95;11;2;4;"2025-01-11 19:59:36";235.00;Crédito;1
96;11;2;3;"2025-01-11 19:59:36";830.00;Débito;1
97;12;2;1;"2025-01-12 10:44:26";2.40;PAO;1
98;12;2;1;"2025-01-12 13:23:14";150.00;"3 POLOS BATERIA CAMINHAO";1
99;12;2;1;"2025-01-12 14:21:51";80.00;AJUDANTE;1
100;12;2;1;"2025-01-12 14:40:33";200.00;FC;1
101;12;2;4;"2025-01-12 14:56:15";355.00;Crédito;1
102;12;2;3;"2025-01-12 14:56:15";700.00;Débito;1
103;13;2;1;"2025-01-13 11:55:44";6.40;PAO;1
104;13;2;1;"2025-01-13 12:32:42";10.00;"COPIA DE CHAVE";1
105;13;2;1;"2025-01-13 13:26:12";1900.00;FC;1
106;13;2;1;"2025-01-13 15:01:04";1100.00;FC;1
107;13;2;1;"2025-01-13 19:05:49";80.00;GABRIEL;1
108;13;2;1;"2025-01-13 19:54:47";100.00;FC;1
109;13;2;4;"2025-01-13 20:02:47";120.00;Crédito;1
110;13;2;3;"2025-01-13 20:02:47";235.00;Débito;1
111;13;2;5;"2025-01-13 20:02:47";120.00;Pix;1
112;14;2;1;"2025-01-14 08:12:05";6.40;PAO;1
113;14;2;1;"2025-01-14 12:06:05";9.90;"COLA ";1
114;14;2;1;"2025-01-14 12:20:49";1900.00;FC;1
115;14;2;1;"2025-01-14 18:02:53";1000.00;FC;1
116;14;2;1;"2025-01-14 18:07:50";2.40;"PAO DA TARDE ";1
117;14;2;1;"2025-01-14 18:57:00";80.00;GABRIEL;1
118;14;2;1;"2025-01-14 19:54:09";200.00;FC;1
119;14;2;4;"2025-01-14 20:03:44";115.00;Crédito;1
120;14;2;3;"2025-01-14 20:03:44";835.00;Débito;1
121;15;2;1;"2025-01-15 08:13:06";6.40;PAO;1
122;15;2;1;"2025-01-15 11:49:43";2000.00;FC;1
123;15;2;1;"2025-01-15 14:11:53";50.00;GASOLINA;1
124;15;2;1;"2025-01-15 17:31:31";12.90;"CADERNO ANOTAO";1
125;15;2;1;"2025-01-15 19:00:56";80.00;GABRIEL;1
126;15;2;1;"2025-01-15 19:08:26";900.00;FC;1
127;15;2;4;"2025-01-15 20:12:01";120.00;Crédito;1
128;15;2;3;"2025-01-15 20:12:01";825.00;Débito;1
129;16;2;1;"2025-01-16 13:48:54";2800.00;FC;1
130;16;2;1;"2025-01-16 16:22:18";61.00;"GASOLINA MOTO";1
131;16;2;1;"2025-01-16 17:54:01";100.00;"COMPRA VASILHAME P13";1
132;16;2;1;"2025-01-16 18:52:33";80.00;GABRIEL;1
133;16;2;1;"2025-01-16 19:57:30";628.00;"FC 350 pix 270 pao 8";1
134;16;2;4;"2025-01-16 20:01:16";240.00;Crédito;1
135;16;2;3;"2025-01-16 20:01:16";465.00;Débito;1
136;16;2;5;"2025-01-16 20:01:16";20.00;Pix;1
137;17;2;1;"2025-01-17 14:29:28";3000.00;FC;1
138;17;2;1;"2025-01-17 14:50:42";4.90;"MARCA TEXTO";1
139;17;2;1;"2025-01-17 14:51:09";6.40;PAO;1
140;17;2;1;"2025-01-17 15:00:44";38.00;"LAMPADA FAROL";1
141;17;2;1;"2025-01-17 15:01:18";6.00;"LAMPADA ESMAGADA GRANDE";1
142;17;2;1;"2025-01-17 15:01:36";12.00;"LAMPADA 2 POLOS";1
143;17;2;1;"2025-01-17 15:02:05";12.00;"LAMPADA 1 POLO-";1
144;17;2;1;"2025-01-17 18:19:32";300.00;FC;1
145;17;2;1;"2025-01-17 18:35:20";2.40;"TROQUEI PIX";1
146;17;2;1;"2025-01-17 18:53:35";80.00;GABRIEL;1
147;17;2;1;"2025-01-17 19:53:33";500.00;FC;1
148;17;2;4;"2025-01-17 20:01:14";120.00;Crédito;1
149;17;2;3;"2025-01-17 20:01:14";355.00;Débito;1
150;18;2;1;"2025-01-18 13:22:11";4000.00;FC;1
151;18;2;1;"2025-01-18 13:51:52";8.90;"FITA CREPE";1
152;18;2;1;"2025-01-18 18:58:38";80.00;GABRIEL;1
153;18;2;1;"2025-01-18 19:28:26";6.40;PAO;1
154;18;2;1;"2025-01-18 19:56:43";350.00;FC;1
155;18;2;4;"2025-01-18 20:02:49";240.00;Crédito;1
156;18;2;3;"2025-01-18 20:02:49";1148.00;Débito;1
157;19;2;1;"2025-01-19 14:04:43";80.00;GABRIEL;1
158;19;2;1;"2025-01-19 14:05:33";2.40;PAO;1
159;19;2;1;"2025-01-19 14:50:58";300.00;FC;1
160;19;2;4;"2025-01-19 14:57:37";350.00;Crédito;1
161;19;2;3;"2025-01-19 14:57:37";820.00;Débito;1
162;20;2;1;"2025-01-20 07:54:43";50.00;"MANUTENCAO TELEFONE";1
163;20;2;1;"2025-01-20 13:00:01";2700.00;"FC 2700 + 500 lory deu em dinheiro (crédito cliente)";1
164;20;2;1;"2025-01-20 15:52:56";30.00;"RELE , E 3 LAMPADAS ";1
165;20;2;1;"2025-01-20 16:20:16";50.00;GASOLINA;1
166;20;2;1;"2025-01-20 18:56:05";80.00;GABRIEL;1
167;20;2;1;"2025-01-20 19:20:52";6.40;PAO;1
168;20;2;1;"2025-01-20 20:01:04";500.00;FC;1
169;20;2;3;"2025-01-20 20:02:43";240.00;Débito;1
170;21;2;1;"2025-01-21 08:16:10";6.40;PAO;1
171;21;2;1;"2025-01-21 11:17:40";105.00;"PECAS MOTO FAN 128";1
172;21;2;1;"2025-01-21 11:27:11";1000.00;FC;1
173;21;2;1;"2025-01-21 12:45:50";30.00;"DESENTUPIDOR PILHA";1
174;21;2;1;"2025-01-21 13:01:02";2900.00;FC;1
175;21;2;1;"2025-01-21 15:19:47";100.00;"RODAS FAN 2008";1
176;21;2;1;"2025-01-21 18:55:56";80.00;GABRIEL;1
177;21;2;1;"2025-01-21 19:58:39";750.00;FC;1
178;21;2;4;"2025-01-21 20:18:29";475.00;Crédito;1
179;21;2;3;"2025-01-21 20:18:29";495.00;Débito;1
180;22;2;1;"2025-01-22 14:44:13";2000.00;FC;1
181;22;2;1;"2025-01-22 14:53:01";50.00;"GASOLINA MOTO YBR";1
182;22;2;1;"2025-01-22 17:09:29";700.00;FC;1
183;22;2;1;"2025-01-22 19:00:58";80.00;GABRIEL;1
184;22;2;1;"2025-01-22 19:11:31";6.40;PAO;1
185;22;2;1;"2025-01-22 19:57:12";350.00;FC;1
186;22;2;4;"2025-01-22 20:06:19";360.00;Crédito;1
187;22;2;3;"2025-01-22 20:06:19";475.00;Débito;1
188;23;2;1;"2025-01-23 08:16:27";6.40;PAO;1
189;23;2;1;"2025-01-23 08:21:44";8.00;MANTEIGA;1
190;23;2;1;"2025-01-23 12:49:02";85.90;"OLEO DIESEL CAMINHAO";1
191;23;2;1;"2025-01-23 12:50:10";16.50;"SPRAY DESINGRIPANTE";1
192;23;2;1;"2025-01-23 13:06:57";1700.00;FC;1
193;23;2;1;"2025-01-23 13:27:16";750.00;FC;1
