tab_contasapagar_id_contasapagar;tab_contasapagar_id_contasapagarsetor;tab_contasapagar_id_entidade;tab_contasapagar_datacad;tab_contasapagar_descricao;tab_contasapagar_vencimento;tab_contasapagar_valor;tab_contasapagar_datapago;tab_contasapagar_valorpago;tab_contasapagar_obs
53;4;2;"2025-01-09 18:29:29";"lanterna esquerda da tampa traseira strada 2012";"2025-01-09 00:00:00";118.00;"2025-01-09 00:00:00";118.00;
54;4;2;"2025-01-09 18:30:16";"par lanterna traseira strada 2012";"2025-01-09 00:00:00";170.90;"2025-01-09 00:00:00";170.90;
55;4;2;"2025-01-09 18:31:45";"2- unidades  pneus maggion dianteiro para moto";"2025-01-09 00:00:00";279.98;"2025-01-09 00:00:00";279.98;
56;4;2;"2025-01-09 18:33:55";"Alavanca freio de mão fiat strada ";"2025-01-09 00:00:00";194.91;"2025-01-09 00:00:00";194.91;
57;4;2;"2025-01-09 18:37:20";"banco completo honda Fan 2008";"2025-01-09 00:00:00";111.15;"2025-01-09 00:00:00";111.15;
58;4;2;"2025-01-09 18:49:20";"soldas no caminhao ";"2025-01-09 00:00:00";150.00;"2025-01-09 00:00:00";150.00;
60;8;1;"2025-01-10 10:06:24";"1 pct bala dori hortelã 600g";"2025-01-09 00:00:00";9.90;"2025-01-09 00:00:00";9.90;
61;8;1;"2025-01-10 10:06:52";"1 pct bala chiclete bolete 600g";"2025-01-09 00:00:00";9.79;"2025-01-09 00:00:00";9.79;
62;10;1;"2025-01-10 10:19:01";"1 vassoura aklin";"2025-01-09 00:00:00";6.99;"2025-01-09 00:00:00";6.99;
63;8;1;"2025-01-10 10:19:33";"5 kg de açúcar barra";"2025-01-09 00:00:00";20.25;"2025-01-09 00:00:00";20.25;
64;8;1;"2025-01-10 10:20:17";"24 l de leite italac";"2025-01-09 00:00:00";117.36;"2025-01-09 00:00:00";117.36;
65;10;1;"2025-01-10 10:20:46";"4 esponja tinindo lava louça";"2025-01-09 00:00:00";2.99;"2025-01-09 00:00:00";2.99;
66;10;1;"2025-01-10 10:21:08";"3 detergente minuano 500ml";"2025-01-09 00:00:00";5.07;"2025-01-09 00:00:00";5.07;
67;10;1;"2025-01-10 10:21:28";"1 desinfetante candura lavanda 5l";"2025-01-09 00:00:00";11.20;"2025-01-09 00:00:00";11.20;
68;10;1;"2025-01-10 10:21:44";"1 água sanitária olimpo 5l";"2025-01-09 00:00:00";9.30;"2025-01-09 00:00:00";9.30;
69;8;1;"2025-01-10 10:22:05";"1 margarina qualy 1kg";"2025-01-09 00:00:00";12.20;"2025-01-09 00:00:00";12.20;
70;8;1;"2025-01-10 10:22:35";"3 cafe fort 500g";"2025-01-09 00:00:00";114.50;"2025-01-09 00:00:00";114.50;
71;8;1;"2025-01-10 10:23:06";"3 filtro brigitta 103";"2025-01-09 00:00:00";10.65;"2025-01-09 00:00:00";10.65;
72;10;1;"2025-01-10 17:55:30";"5 kg saco de lixo 60l";"2025-01-10 00:00:00";50.00;"2025-01-10 00:00:00";50.00;
73;1;1;"2025-01-10 18:51:49";"Conta de luz";"2025-01-22 00:00:00";237.98;"2025-01-20 00:00:00";237.98;
75;1;1;"2025-01-11 09:40:10";"Impressão de placa de preço para porta 50x60cm";"2025-01-11 00:00:00";80.00;"2025-01-11 00:00:00";80.00;
76;6;1;"2025-01-11 18:42:29";"Caixa para 5 disjuntores - util arte";"2025-01-11 00:00:00";35.00;"2025-01-11 00:00:00";35.00;
