tab_colaboradorfingerprint_id_entidade;tab_colaboradorfingerprint_fingerprint
1;"{""api.php"": 114, ""home.php"": 1078, ""user.php"": 422, ""sound.php"": 7, ""stock.php"": 2, ""entity.php"": 3186, ""wallet.php"": 1163, ""backend.php"": 386, ""company.php"": 52, ""printer.php"": 43, ""product.php"": 1178, ""receipt.php"": 1, ""wallets.php"": 9, ""printing.php"": 10, ""provider.php"": 148, ""settings.php"": 29, ""price_tag.php"": 9, ""sale_order.php"": 6198, ""bills_to_pay.php"": 2038, ""collaborator.php"": 40, ""purchase_list.php"": 1, ""sale_cashtype.php"": 9, ""wallet_sector.php"": 2, ""product_sector.php"": 8, ""purchase_order.php"": 759, ""report_stockin.php"": 20, ""config_shipment.php"": 10, ""report_billspay.php"": 90, ""wallet_cashtype.php"": 4, ""bills_to_receive.php"": 288, ""report_cashbreak.php"": 30, ""report_cashdrain.php"": 1901, ""report_waitertip.php"": 2, ""report_sale_total.php"": 714, ""report_stockinout.php"": 11, ""report_sale_coupon.php"": 502, ""report_stockupdate.php"": 14, ""bills_to_pay_sector.php"": 24, ""report_entitycredit.php"": 89, ""report_sale_product.php"": 1028, ""report_sale_one_product.php"": 40, ""cgi.php?action=PrintPedido&id_venda=2420"": 1, ""cgi.php?action=PrintPedido&id_venda=3043"": 1, ""cgi.php?action=PrintPedido&id_venda=3047"": 1}"
2;"{""api.php"": 19208, ""home.php"": 1012, ""user.php"": 35, ""stock.php"": 3, ""entity.php"": 19268, ""wallet.php"": 38, ""backend.php"": 2205, ""company.php"": 5, ""printer.php"": 29, ""product.php"": 5636, ""receipt.php"": 18, ""wallets.php"": 4, ""printing.php"": 9, ""provider.php"": 107, ""settings.php"": 101, ""price_tag.php"": 1, ""pdv_config.php"": 14, ""sale_order.php"": 121921, ""bills_to_pay.php"": 477, ""collaborator.php"": 257, ""purchase_list.php"": 14, ""sale_cashtype.php"": 6, ""product_sector.php"": 2, ""purchase_order.php"": 464, ""report_stockin.php"": 6, ""cashier_closing.php"": 1, ""report_billspay.php"": 35, ""bills_to_receive.php"": 1694, ""fidelity_program.php"": 1, ""report_cashbreak.php"": 44, ""report_cashdrain.php"": 714, ""report_waitertip.php"": 5, ""report_sale_total.php"": 915, ""report_stockinout.php"": 24, ""report_sale_coupon.php"": 1446, ""report_stockupdate.php"": 34, ""bills_to_pay_sector.php"": 31, ""report_entitycredit.php"": 19, ""report_sale_product.php"": 109, ""report_sale_one_product.php"": 27, ""cgi.php?action=PrintPedido&id_venda=1"": 1, ""cgi.php?action=PrintPedido&id_venda=80"": 8, ""cgi.php?action=PrintPedido&id_venda=94"": 1, ""cgi.php?action=PrintPedido&id_venda=184"": 1, ""cgi.php?action=PrintPedido&id_venda=212"": 1, ""cgi.php?action=PrintPedido&id_venda=339"": 1, ""cgi.php?action=PrintPedido&id_venda=359"": 1, ""cgi.php?action=PrintPedido&id_venda=421"": 1, ""cgi.php?action=PrintPedido&id_venda=428"": 1, ""cgi.php?action=PrintPedido&id_venda=439"": 1, ""cgi.php?action=PrintPedido&id_venda=557"": 1, ""cgi.php?action=PrintPedido&id_venda=615"": 1, ""cgi.php?action=PrintPedido&id_venda=635"": 1, ""cgi.php?action=PrintPedido&id_venda=688"": 1, ""cgi.php?action=PrintPedido&id_venda=710"": 1, ""cgi.php?action=PrintPedido&id_venda=772"": 1, ""cgi.php?action=PrintPedido&id_venda=830"": 1, ""cgi.php?action=PrintPedido&id_venda=999"": 1, ""cgi.php?action=PrintPedido&id_venda=1114"": 1, ""cgi.php?action=PrintPedido&id_venda=1284"": 1, ""cgi.php?action=PrintPedido&id_venda=1450"": 1, ""cgi.php?action=PrintPedido&id_venda=1629"": 1, ""cgi.php?action=PrintPedido&id_venda=1639"": 1, ""cgi.php?action=PrintPedido&id_venda=1931"": 1, ""cgi.php?action=PrintPedido&id_venda=2056"": 1, ""cgi.php?action=PrintPedido&id_venda=2386"": 1, ""cgi.php?action=PrintPedido&id_venda=2603"": 1, ""cgi.php?action=PrintPedido&id_venda=2610"": 1, ""cgi.php?action=PrintPedido&id_venda=2680"": 2, ""cgi.php?action=PrintPedido&id_venda=2751"": 1, ""cgi.php?action=PrintPedido&id_venda=2832"": 1, ""cgi.php?action=PrintPedido&id_venda=2852"": 1, ""cgi.php?action=PrintPedido&id_venda=2853"": 1, ""cgi.php?action=PrintPedido&id_venda=2911"": 1, ""cgi.php?action=PrintPedido&id_venda=2916"": 1, ""cgi.php?action=PrintPedido&id_venda=2917"": 1, ""cgi.php?action=PrintPedido&id_venda=2918"": 1, ""cgi.php?action=PrintPedido&id_venda=2961"": 2, ""cgi.php?action=PrintPedido&id_venda=3032"": 1, ""cgi.php?action=PrintPedido&id_venda=3121"": 1, ""cgi.php?action=PrintPedido&id_venda=3147"": 1, ""cgi.php?action=PrintPedido&id_venda=3218"": 1, ""cgi.php?action=PrintPedido&id_venda=3225"": 1, ""cgi.php?action=PrintPedido&id_venda=3228"": 1, ""cgi.php?action=PrintPedido&id_venda=3240"": 1, ""cgi.php?action=PrintPedido&id_venda=3266"": 1, ""cgi.php?action=PrintPedido&id_venda=3267"": 1, ""cgi.php?action=PrintPedido&id_venda=3270"": 1, ""cgi.php?action=PrintPedido&id_venda=3272"": 1, ""cgi.php?action=PrintPedido&id_venda=3273"": 1, ""cgi.php?action=PrintPedido&id_venda=3308"": 1, ""cgi.php?action=PrintPedido&id_venda=3373"": 1, ""cgi.php?action=PrintPedido&id_venda=3389"": 1, ""cgi.php?action=PrintPedido&id_venda=3400"": 2, ""cgi.php?action=PrintPedido&id_venda=3447"": 1}"
170;"{""api.php"": 3036, ""home.php"": 75, ""user.php"": 10, ""entity.php"": 1869, ""backend.php"": 162, ""product.php"": 510, ""provider.php"": 4, ""settings.php"": 2, ""sale_order.php"": 11535, ""bills_to_pay.php"": 19, ""collaborator.php"": 19, ""purchase_order.php"": 19, ""bills_to_receive.php"": 110, ""report_cashdrain.php"": 116, ""report_sale_total.php"": 222, ""report_stockinout.php"": 2, ""report_sale_coupon.php"": 152, ""report_entitycredit.php"": 3, ""report_sale_product.php"": 6, ""report_sale_one_product.php"": 3, ""cgi.php?action=PrintPedido&id_venda=744"": 1, ""cgi.php?action=PrintPedido&id_venda=2057"": 1, ""cgi.php?action=PrintPedido&id_venda=2344"": 1, ""cgi.php?action=PrintPedido&id_venda=2345"": 1, ""cgi.php?action=PrintPedido&id_venda=2546"": 1, ""cgi.php?action=PrintPedido&id_venda=2706"": 1, ""cgi.php?action=PrintPedido&id_venda=2727"": 1}"
