tab_fornecedor_id_fornecedor;tab_fornecedor_datacad;tab_fornecedor_ativo;tab_fornecedor_cpfcnpj;tab_fornecedor_ie;tab_fornecedor_razaosocial;tab_fornecedor_nomefantasia;tab_fornecedor_endereco;tab_fornecedor_bairro;tab_fornecedor_cidade;tab_fornecedor_uf;tab_fornecedor_cep;tab_fornecedor_telefone1;tab_fornecedor_contato1;tab_fornecedor_telefone2;tab_fornecedor_contato2;tab_fornecedor_telefone3;tab_fornecedor_contato3;tab_fornecedor_email;tab_fornecedor_obs
1;"2024-12-27 13:51:44";1;;;"Somos +";"Somos +";;;;SP;;22750003;Juliana;971820398;;948431124;"Maria Edith";;www.gruposomosmais.com.br
2;"2024-12-31 14:57:00";1;03237583010391;;"Copa Energia SA";"Copa Energia SA";"Rua Presidente Castelo Branco, 772 km 19,5";"Jardim Mutinga";Barueri;SP;;11996497663;"Danilo - Consultor";11985586063;"Vitória - Pedidos";;;;
3;"2025-01-14 19:16:05";1;21603612000149;;"Fesso Peças Plasticas";"Fesso Peças Plasticas";"R:Nair Ferreira Coelho Brachi , 445 ant 19";"jd novo cambuí";hortolândia;SP;13187218;998138077;"19 22167210";;;;;;
4;"2025-01-16 17:36:26";1;;;"Moreira Depósito de Gás - Bandeirantes";"Moreira Depósito de gás - Bandeirantes";;;;SP;;;;;;;;;
5;"2025-01-16 17:37:22";1;;;varejo;"Novo Fornecedor";;;;SP;;;;;;;;;
6;"2025-01-16 17:52:43";1;;;varejo;"Novo Fornecedor";;;;SP;;;;;;;;;
7;"2025-01-21 20:31:16";1;;;"copagas troca";"Novo Fornecedor";;;;SP;;;;;;;;;
